id,value,created_at,updated_at
361,"6571,19684,6578,6593",2019-07-05 18:55:30,2019-07-05 18:55:30
362,"17,26237,13131,39,13106,13106",2019-07-05 19:03:37,2019-07-05 19:03:37
363,"6553,19660,6553,6553,6553,6553",2019-07-05 19:04:04,2019-07-05 19:04:04
364,"6571,19684,6578,6593,6553,6553",2019-07-05 19:06:22,2019-07-05 19:06:22
365,"19660,6553,6553,19660",2019-07-05 19:12:05,2019-07-05 19:12:05
366,"6553,19660,19660,6553,6553,6553,6553",2019-07-05 19:12:17,2019-07-05 19:12:17
367,"6553,19660,19660",2019-07-05 19:12:29,2019-07-05 19:12:29
368,"6571,19684,19685,6593,6553,6553,6553",2019-07-05 19:14:32,2019-07-05 19:14:32
369,"13106,13106,13106,13106",2019-07-05 19:14:57,2019-07-05 19:14:57
370,"13124,13130,13131,13146",2019-07-05 19:17:17,2019-07-05 19:17:17
371,"17,13130,13131,39",2019-07-05 19:20:00,2019-07-05 19:20:00
372,"6571,6577,6578,6593",2019-07-05 19:22:45,2019-07-05 19:22:45
373,"17,39345,24",2019-07-05 19:25:25,2019-07-05 19:25:25
374,"6571,32791",2019-07-05 19:28:08,2019-07-05 19:28:08
375,"17,26237",2019-07-05 19:33:37,2019-07-05 19:33:37
376,"6553,32767,6553",2019-07-05 19:34:06,2019-07-05 19:34:06
377,"6571,32791,6578",2019-07-05 19:36:23,2019-07-05 19:36:23
378,"13124,26237,24,39",2019-07-05 19:39:08,2019-07-05 19:39:08
379,"17,26237,24",2019-07-05 19:41:48,2019-07-05 19:41:48
380,"19660,6553,6553,6553",2019-07-05 19:42:02,2019-07-05 19:42:02
381,"6571,19684",2019-07-05 19:44:30,2019-07-05 19:44:30
382,"13106,26213,13106",2019-07-05 19:55:52,2019-07-05 19:55:52
383,"13124,26237,13131,39",2019-07-05 19:58:07,2019-07-05 19:58:07
384,"19660,19660,6553,6553",2019-07-05 19:58:37,2019-07-05 19:58:37
385,"19660,19660,6553",2019-07-05 19:58:50,2019-07-05 19:58:50
386,"19678,19684,6578,6593",2019-07-05 20:00:51,2019-07-05 20:00:51
387,"6571,19684,6578",2019-07-05 20:03:36,2019-07-05 20:03:36
388,"13124,13130,24,39",2019-07-05 20:06:19,2019-07-05 20:06:19
389,"17,13130",2019-07-05 20:28:27,2019-07-05 20:28:27
390,"17,13130,24",2019-07-05 20:47:37,2019-07-05 20:47:37
391,"6571,6577",2019-07-05 20:50:19,2019-07-05 20:50:19
392,"17,26237,13131,39,13106,26213,13106",2019-07-05 21:14:52,2019-07-05 21:14:52
393,"6553,19660,6553,6553,6553,19660,6553",2019-07-05 21:15:22,2019-07-05 21:15:22
394,"6571,19684,6578,6593,6553,19660,6553",2019-07-05 21:17:38,2019-07-05 21:17:38
395,"6553,19660,19660,6553,6553,19660,19660",2019-07-05 21:23:33,2019-07-05 21:23:33
396,"6571,19684,19685,6593,6553,19660,19660",2019-07-05 21:25:46,2019-07-05 21:25:46
397,"17,13130,24,39,13106,26213",2019-07-05 22:01:12,2019-07-05 22:01:12
398,"17,13130,13131,39,13106,26213,13106",2019-07-05 22:09:22,2019-07-05 22:09:22
399,"6571,6577,6578,6593,6553,19660,6553",2019-07-05 22:12:07,2019-07-05 22:12:07
400,"6553,6553,6553,19660",2019-07-05 22:28:37,2019-07-05 22:28:37
401,"17,13130,13131,13146",2019-07-05 22:33:52,2019-07-05 22:33:52
402,"6553,6553,6553,19660,6553,6553",2019-07-05 22:39:34,2019-07-05 22:39:34
403,"17,13130,13131,13146,13106,13106",2019-07-05 22:44:47,2019-07-05 22:44:47
404,"17,13130,26238,13146,13106,13106,13106",2019-07-05 22:52:58,2019-07-05 22:52:58
405,"6553,6553,19660,6553,6553,6553,6553",2019-07-05 22:53:24,2019-07-05 22:53:24
406,"6553,6553,19660,19660,6553,6553,6553",2019-07-05 22:54:05,2019-07-05 22:54:05
407,"6571,6577,19685,19700,6553,6553,6553",2019-07-05 22:55:38,2019-07-05 22:55:38
408,"17,23,13131,13146",2019-07-05 23:01:05,2019-07-05 23:01:05
409,"17,23,13131,13146,13106,13106",2019-07-05 23:39:16,2019-07-05 23:39:16
410,"17,39345,13131,39,13106,13106,13106",2019-07-05 23:47:26,2019-07-05 23:47:26
411,"6553,32767,6553,6553,6553,6553,6553",2019-07-05 23:47:52,2019-07-05 23:47:52
412,"6571,32791,6578,6593,6553,6553,6553",2019-07-05 23:50:13,2019-07-05 23:50:13
413,"19660,19660,6553,19660",2019-07-05 23:55:49,2019-07-05 23:55:49
414,"6553,32767,19660,6553,6553,6553,19660",2019-07-05 23:56:07,2019-07-05 23:56:07
415,"6553,32767,19660",2019-07-05 23:56:20,2019-07-05 23:56:20
416,"6571,32791,19685,6593,6553,6553,19660",2019-07-05 23:58:25,2019-07-05 23:58:25
417,"13106,26213,13106,13106",2019-07-05 23:58:48,2019-07-05 23:58:48
418,"13124,26237,13131,13146",2019-07-06 00:01:04,2019-07-06 00:01:04
419,"17,26237,13131",2019-07-06 00:03:52,2019-07-06 00:03:52
420,"19660,6553,19660,19660,6553,6553,32767",2019-07-06 00:04:05,2019-07-06 00:04:05
421,"19660,19660,6553,19660,6553,6553,6553",2019-07-06 00:06:47,2019-07-06 00:06:47
422,"6553,32767,19660,6553,19660,19660,19660",2019-07-06 00:07:00,2019-07-06 00:07:00
423,"6571,32791,19685,6593,19660,19660,19660",2019-07-06 00:09:20,2019-07-06 00:09:20
424,"13106,26213,13106,13106,13106,13106,13106",2019-07-06 00:09:46,2019-07-06 00:09:46
425,"13124,26237,13131,13146,13106,13106,13106",2019-07-06 00:11:59,2019-07-06 00:11:59
426,"17,26237,13131,39,13106,13106,26213",2019-07-06 00:14:47,2019-07-06 00:14:47
427,"19660,6553,19660,19660",2019-07-06 00:14:58,2019-07-06 00:14:58
428,"6553,19660,6553,6553,6553,6553,19660",2019-07-06 00:15:17,2019-07-06 00:15:17
429,"6571,19684,6578,6593,6553,6553,19660",2019-07-06 00:17:33,2019-07-06 00:17:33
430,"26213,13106,13106,26213",2019-07-06 00:17:46,2019-07-06 00:17:46
431,"13106,26213,26213,13106,13106,13106,26213",2019-07-06 00:17:58,2019-07-06 00:17:58
432,"13106,26213,26213",2019-07-06 00:18:12,2019-07-06 00:18:12
433,"13124,26237,26238,13146,13106,13106,26213",2019-07-06 00:20:15,2019-07-06 00:20:15
434,"19660,19660,19660,19660,6553,6553,19660",2019-07-06 00:20:41,2019-07-06 00:20:41
435,"19660,19660,19660,6553,6553,6553,19660",2019-07-06 00:20:59,2019-07-06 00:20:59
436,"19678,19684,19685,19700,6553,6553,19660",2019-07-06 00:22:59,2019-07-06 00:22:59
437,"6553,19660,19660,6553,6553,6553,32767",2019-07-06 00:23:26,2019-07-06 00:23:26
438,"6571,19684,19685,6593,6553,6553,32767",2019-07-06 00:25:45,2019-07-06 00:25:45
439,"17,26237,24,39,13106,13106",2019-07-06 00:33:51,2019-07-06 00:33:51
440,"17,26237,13131,39,13106,13106,13106",2019-07-06 00:42:02,2019-07-06 00:42:02
441,"6553,19660,6553,6553,6553,6553,6553",2019-07-06 00:42:32,2019-07-06 00:42:32
442,"6571,19684,6578,6593,6553,6553,6553",2019-07-06 00:44:49,2019-07-06 00:44:49
443,"17,26237,13131,39,26213,26213,13106",2019-07-06 00:53:00,2019-07-06 00:53:00
444,"6553,19660,6553,6553,19660,19660,6553",2019-07-06 00:53:24,2019-07-06 00:53:24
445,"6571,19684,6578,6593,19660,19660,6553",2019-07-06 00:55:41,2019-07-06 00:55:41
446,"17,13130,24,39,13106,13106,13106",2019-07-06 01:01:05,2019-07-06 01:01:05
447,"19660,6553,6553,19660,6553,6553,6553",2019-07-06 01:01:23,2019-07-06 01:01:23
448,"6553,19660,19660,6553,19660,19660,19660",2019-07-06 01:01:36,2019-07-06 01:01:36
449,"6571,19684,19685,6593,19660,19660,19660",2019-07-06 01:03:49,2019-07-06 01:03:49
450,"13124,13130,13131,13146,13106,13106,13106",2019-07-06 01:06:44,2019-07-06 01:06:44
451,"17,13130,13131,39,13106,13106,26213",2019-07-06 01:09:29,2019-07-06 01:09:29
452,"6553,6553,6553,6553,6553,6553,19660",2019-07-06 01:09:50,2019-07-06 01:09:50
453,"6571,6577,6578,6593,6553,6553,19660",2019-07-06 01:12:12,2019-07-06 01:12:12
454,"6553,19660,6553,19660,6553",2019-07-06 01:12:25,2019-07-06 01:12:25
455,"17,26237,13131,13146,13106",2019-07-06 01:17:37,2019-07-06 01:17:37
456,"6553,6553,19660,6553",2019-07-06 01:20:35,2019-07-06 01:20:35
457,"13106,13106,13106,26213",2019-07-06 01:23:16,2019-07-06 01:23:16
458,"17,26237,26238,13146,13106",2019-07-06 01:25:46,2019-07-06 01:25:46
459,"6553,19660,19660,19660,6553",2019-07-06 01:26:12,2019-07-06 01:26:12
460,"6553,19660,19660,6553,6553",2019-07-06 01:26:25,2019-07-06 01:26:25
461,"6571,19684,19685,19700,6553",2019-07-06 01:28:28,2019-07-06 01:28:28
462,"13106,13106,13106,26213,13106",2019-07-06 01:34:13,2019-07-06 01:34:13
463,"17,26237,26238,13146,26213,13106,13106",2019-07-06 01:36:40,2019-07-06 01:36:40
464,"6553,19660,19660,19660,19660,6553,6553",2019-07-06 01:37:08,2019-07-06 01:37:08
465,"6571,19684,19685,19700,19660,6553,6553",2019-07-06 01:39:25,2019-07-06 01:39:25
466,"6553,6553,6553,19660,6553",2019-07-06 01:39:37,2019-07-06 01:39:37
467,"17,13130,13131,13146,13106",2019-07-06 01:44:50,2019-07-06 01:44:50
468,"19660,6553,19660,32767,6553",2019-07-06 01:45:03,2019-07-06 01:45:03
469,"6553,19660,32767,19660,19660,6553,19660",2019-07-06 01:45:17,2019-07-06 01:45:17
470,"6553,19660,32767,6553,19660,6553,19660",2019-07-06 01:45:31,2019-07-06 01:45:31
471,"6571,19684,32792,19700,19660,6553,19660",2019-07-06 01:47:35,2019-07-06 01:47:35
472,"13106,13106,26213,13106,13106",2019-07-06 01:48:02,2019-07-06 01:48:02
473,"13106,13106,26213,26213,13106",2019-07-06 01:48:41,2019-07-06 01:48:41
474,"13124,13130,26238,26253,13106",2019-07-06 01:50:19,2019-07-06 01:50:19
475,"17,13130,26238,13146,13106",2019-07-06 01:53:01,2019-07-06 01:53:01
476,"6553,6553,19660,19660,6553",2019-07-06 01:53:31,2019-07-06 01:53:31
477,"6571,6577,19685,19700,6553",2019-07-06 01:55:43,2019-07-06 01:55:43
478,"6553,6553,6553,6553,19660,6553",2019-07-06 02:17:48,2019-07-06 02:17:48
479,"17,13130,13131,39,26213,13106",2019-07-06 02:23:02,2019-07-06 02:23:02
480,"17,13130,26238,13146,26213,13106,13106",2019-07-06 02:31:11,2019-07-06 02:31:11
481,"6553,6553,19660,6553,19660,6553,6553",2019-07-06 02:31:37,2019-07-06 02:31:37
482,"6553,6553,19660,19660,19660,6553,6553",2019-07-06 02:31:55,2019-07-06 02:31:55
483,"6571,6577,19685,19700,19660,6553,6553",2019-07-06 02:33:55,2019-07-06 02:33:55
484,"17,23,13131,13146,13106",2019-07-06 02:39:23,2019-07-06 02:39:23
485,"19660,32767",2019-07-06 02:39:37,2019-07-06 02:39:37
486,"6553,45874,6553",2019-07-06 02:39:50,2019-07-06 02:39:50
487,"6571,45898,6578",2019-07-06 02:42:08,2019-07-06 02:42:08
488,"13106,39321",2019-07-06 02:42:33,2019-07-06 02:42:33
489,"13124,39345,24,39",2019-07-06 02:44:53,2019-07-06 02:44:53
490,"13106,39321,13106",2019-07-06 02:50:44,2019-07-06 02:50:44
491,"13124,39345,13131,39",2019-07-06 02:53:01,2019-07-06 02:53:01
492,"19660,32767,6553,6553",2019-07-06 02:53:32,2019-07-06 02:53:32
493,"19660,32767,6553",2019-07-06 02:53:44,2019-07-06 02:53:44
494,"19678,32791,6578,6593",2019-07-06 02:55:44,2019-07-06 02:55:44
495,"26213,13106,13106,13106",2019-07-06 02:58:42,2019-07-06 02:58:42
496,"13124,39345,13131,39,13106,13106,13106",2019-07-06 03:03:57,2019-07-06 03:03:57
497,"19660,32767,6553,6553,6553,6553,6553",2019-07-06 03:04:23,2019-07-06 03:04:23
498,"19678,32791,6578,6593,6553,6553,6553",2019-07-06 03:06:38,2019-07-06 03:06:38
499,"32767,19660,6553,19660",2019-07-06 03:12:19,2019-07-06 03:12:19
500,"19660,32767,19660,6553,6553,6553,19660",2019-07-06 03:12:32,2019-07-06 03:12:32
501,"19660,32767,19660",2019-07-06 03:12:45,2019-07-06 03:12:45
502,"19678,32791,19685,6593,6553,6553,19660",2019-07-06 03:14:50,2019-07-06 03:14:50
503,"26213,26213,13106,13106",2019-07-06 03:15:15,2019-07-06 03:15:15
504,"26213,26213,13106",2019-07-06 03:15:32,2019-07-06 03:15:32
505,"26231,26237,13131,13146",2019-07-06 03:17:32,2019-07-06 03:17:32
506,"19660,6553,6553,6553,6553,6553,19660",2019-07-06 03:42:17,2019-07-06 03:42:17
507,"13124,26237,24,39,13106,13106",2019-07-06 03:50:15,2019-07-06 03:50:15
508,"13124,26237,13131,39,13106,13106,13106",2019-07-06 03:58:25,2019-07-06 03:58:25
509,"19660,19660,6553,6553,6553,6553,6553",2019-07-06 03:58:55,2019-07-06 03:58:55
510,"19678,19684,6578,6593,6553,6553,6553",2019-07-06 04:01:12,2019-07-06 04:01:12
511,"17,39345,13131,39,13106",2019-07-06 04:09:27,2019-07-06 04:09:27
512,"6553,32767,6553,6553,6553",2019-07-06 04:09:51,2019-07-06 04:09:51
513,"6571,32791,6578,6593,6553",2019-07-06 04:12:08,2019-07-06 04:12:08
514,"6553,32767,19660,6553,6553",2019-07-06 04:18:02,2019-07-06 04:18:02
515,"6571,32791,19685,6593,6553",2019-07-06 04:20:17,2019-07-06 04:20:17
516,"19660,6553,19660,19660,6553",2019-07-06 04:25:57,2019-07-06 04:25:57
517,"19660,19660,6553,19660,6553",2019-07-06 04:28:42,2019-07-06 04:28:42
518,"6553,32767,19660,6553,19660,6553,6553",2019-07-06 04:28:54,2019-07-06 04:28:54
519,"6571,32791,19685,6593,19660,6553,6553",2019-07-06 04:31:15,2019-07-06 04:31:15
520,"13106,26213,13106,13106,13106",2019-07-06 04:31:41,2019-07-06 04:31:41
521,"13124,26237,13131,13146,13106",2019-07-06 04:33:55,2019-07-06 04:33:55
522,"17,26237,13131,39,13106",2019-07-06 04:36:40,2019-07-06 04:36:40
523,"6553,19660,6553,6553,6553",2019-07-06 04:37:04,2019-07-06 04:37:04
524,"6571,19684,6578,6593,6553",2019-07-06 04:39:21,2019-07-06 04:39:21
525,"13106,26213,26213,13106,13106",2019-07-06 04:39:47,2019-07-06 04:39:47
526,"13124,26237,26238,13146,13106",2019-07-06 04:42:06,2019-07-06 04:42:06
527,"19660,19660,19660,19660,6553",2019-07-06 04:42:30,2019-07-06 04:42:30
528,"19660,19660,19660,6553,6553",2019-07-06 04:42:48,2019-07-06 04:42:48
529,"19678,19684,19685,19700,6553",2019-07-06 04:44:46,2019-07-06 04:44:46
530,"6571,19684,19685,6593,6553",2019-07-06 04:47:54,2019-07-06 04:47:54
531,"17,26237,24,39,13106",2019-07-06 04:56:05,2019-07-06 04:56:05
532,"17,26237,13131,39,26213,13106",2019-07-06 05:15:13,2019-07-06 05:15:13
533,"6553,19660,6553,6553,19660,6553",2019-07-06 05:15:42,2019-07-06 05:15:42
534,"6571,19684,6578,6593,19660,6553",2019-07-06 05:17:58,2019-07-06 05:17:58
535,"17,13130,24,39,13106",2019-07-06 05:23:25,2019-07-06 05:23:25
536,"19660,6553,6553,19660,6553",2019-07-06 05:23:41,2019-07-06 05:23:41
537,"6553,19660,19660,6553,19660,6553,6553",2019-07-06 05:23:53,2019-07-06 05:23:53
538,"6571,19684,19685,6593,19660,6553,6553",2019-07-06 05:26:07,2019-07-06 05:26:07
539,"13106,13106,13106,13106,13106",2019-07-06 05:26:37,2019-07-06 05:26:37
540,"13124,13130,13131,13146,13106",2019-07-06 05:28:52,2019-07-06 05:28:52
541,"17,13130,13131,39,13106",2019-07-06 05:31:37,2019-07-06 05:31:37
542,"6553,6553,6553,6553,6553",2019-07-06 05:32:02,2019-07-06 05:32:02
543,"6571,6577,6578,6593,6553",2019-07-06 05:34:22,2019-07-06 05:34:22
544,"6553,32767,19660,6553,19660,6553,19660",2019-07-06 05:34:47,2019-07-06 05:34:47
545,"6571,32791,19685,6593,19660,6553,19660",2019-07-06 05:37:06,2019-07-06 05:37:06
546,"19660,6553,19660,6553",2019-07-06 05:42:44,2019-07-06 05:42:44
547,"6571,19684,19685",2019-07-06 05:53:23,2019-07-06 05:53:23
548,"26213,13106,13106,26213,13106",2019-07-06 05:56:23,2019-07-06 05:56:23
549,"13106,26213,26213,13106,26213,13106,26213",2019-07-06 05:56:36,2019-07-06 05:56:36
550,"13124,26237,26238,13146,26213,13106,26213",2019-07-06 05:58:51,2019-07-06 05:58:51
551,"19660,19660,19660,19660,19660,6553,19660",2019-07-06 05:59:20,2019-07-06 05:59:20
552,"19678,19684,19685,19700,19660,6553,19660",2019-07-06 06:01:35,2019-07-06 06:01:35
553,"6553,19660,19660,6553,19660,6553,32767",2019-07-06 06:02:02,2019-07-06 06:02:02
554,"6571,19684,19685,6593,19660,6553,32767",2019-07-06 06:04:21,2019-07-06 06:04:21
555,"32767,6553,19660,32767,6553",2019-07-06 06:07:18,2019-07-06 06:07:18
556,"19660,19660,32767,19660,19660,6553,32767",2019-07-06 06:07:30,2019-07-06 06:07:30
557,"19660,19660,32767,6553,19660,6553,32767",2019-07-06 06:07:43,2019-07-06 06:07:43
558,"19678,19684,32792,19700,19660,6553,32767",2019-07-06 06:09:48,2019-07-06 06:09:48
559,"26213,13106,26213,26213,13106",2019-07-06 06:10:13,2019-07-06 06:10:13
560,"26213,13106,26213,13106,13106",2019-07-06 06:10:26,2019-07-06 06:10:26
561,"26231,13130,26238,26253,13106",2019-07-06 06:12:31,2019-07-06 06:12:31
562,"13124,13130,26238,13146,13106",2019-07-06 06:15:14,2019-07-06 06:15:14
563,"19678,6577,19685,19700,6553",2019-07-06 06:18:02,2019-07-06 06:18:02
564,"17,26237,13131,39,26213,13106,13106",2019-07-06 06:20:45,2019-07-06 06:20:45
565,"6553,19660,6553,6553,19660,6553,6553",2019-07-06 06:21:14,2019-07-06 06:21:14
566,"6571,19684,6578,6593,19660,6553,6553",2019-07-06 06:23:32,2019-07-06 06:23:32
567,"6553,19660,19660,6553,19660,6553,19660",2019-07-06 06:29:24,2019-07-06 06:29:24
568,"6571,19684,19685,6593,19660,6553,19660",2019-07-06 06:31:42,2019-07-06 06:31:42
569,"17,13130,13131",2019-07-06 06:37:11,2019-07-06 06:37:11
570,"6571,6577,6578",2019-07-06 06:39:54,2019-07-06 06:39:54
571,"19660,6553,6553,19660,19660,6553,6553",2019-07-06 06:40:08,2019-07-06 06:40:08
572,"6553,19660,19660,6553,32767,19660,19660",2019-07-06 06:40:18,2019-07-06 06:40:18
573,"6571,19684,19685,6593,32767,19660,19660",2019-07-06 06:42:35,2019-07-06 06:42:35
574,"13106,13106,13106,13106,26213,13106,13106",2019-07-06 06:43:04,2019-07-06 06:43:04
575,"13124,13130,13131,13146,26213,13106,13106",2019-07-06 06:45:23,2019-07-06 06:45:23
576,"17,13130,13131,39,26213,13106,26213",2019-07-06 06:48:04,2019-07-06 06:48:04
577,"6553,6553,6553,6553,19660,6553,19660",2019-07-06 06:48:29,2019-07-06 06:48:29
578,"6571,6577,6578,6593,19660,6553,19660",2019-07-06 06:50:46,2019-07-06 06:50:46
579,"13106,13106,26213,13106,26213,13106,26213",2019-07-06 06:51:13,2019-07-06 06:51:13
580,"13124,13130,26238,13146,26213,13106,26213",2019-07-06 06:53:28,2019-07-06 06:53:28
581,"19660,6553,19660,19660,19660,6553,19660",2019-07-06 06:53:56,2019-07-06 06:53:56
582,"19678,6577,19685,19700,19660,6553,19660",2019-07-06 06:56:12,2019-07-06 06:56:12
583,"6553,6553,19660,6553,19660,6553,32767",2019-07-06 06:56:42,2019-07-06 06:56:42
584,"6571,6577,19685,6593,19660,6553,32767",2019-07-06 06:58:55,2019-07-06 06:58:55
585,"13124,23,13131,13146,13106",2019-07-06 07:01:39,2019-07-06 07:01:39
586,"17,26237,26238,13146,26213",2019-07-06 07:04:26,2019-07-06 07:04:26
587,"6553,19660,19660,19660,19660",2019-07-06 07:04:52,2019-07-06 07:04:52
588,"6571,19684,19685,19700,19660",2019-07-06 07:07:09,2019-07-06 07:07:09
589,"6553,19660,32767,19660,19660",2019-07-06 07:13:02,2019-07-06 07:13:02
590,"6553,19660,32767,6553,19660",2019-07-06 07:13:15,2019-07-06 07:13:15
591,"6571,19684,32792,19700,19660",2019-07-06 07:15:15,2019-07-06 07:15:15
592,"17,13130,26238,39,13106",2019-07-06 07:20:46,2019-07-06 07:20:46
593,"6553,6553,19660,6553,6553",2019-07-06 07:21:23,2019-07-06 07:21:23
594,"19660,6553,19660,32767,19660",2019-07-06 07:23:44,2019-07-06 07:23:44
595,"6553,19660,32767,19660,32767,6553,19660",2019-07-06 07:23:57,2019-07-06 07:23:57
596,"6571,19684,32792,19700,32767,6553,19660",2019-07-06 07:26:12,2019-07-06 07:26:12
597,"13106,13106,26213,26213,26213",2019-07-06 07:26:37,2019-07-06 07:26:37
598,"13124,13130,26238,26253,26213",2019-07-06 07:28:57,2019-07-06 07:28:57
599,"17,13130,26238,13146,26213",2019-07-06 07:31:41,2019-07-06 07:31:41
600,"6553,6553,19660,19660,19660",2019-07-06 07:32:05,2019-07-06 07:32:05
601,"6571,6577,19685,19700,19660",2019-07-06 07:34:23,2019-07-06 07:34:23
602,"13106,13106,39321,26213,26213",2019-07-06 07:34:52,2019-07-06 07:34:52
603,"13106,13106,39321,13106,26213",2019-07-06 07:35:05,2019-07-06 07:35:05
604,"13124,13130,39346,26253,26213",2019-07-06 07:37:08,2019-07-06 07:37:08
605,"19660,6553,32767,19660,19660",2019-07-06 07:37:32,2019-07-06 07:37:32
606,"19660,6553,32767,32767,19660",2019-07-06 07:38:17,2019-07-06 07:38:17
607,"19678,6577,32792,32807,19660",2019-07-06 07:39:52,2019-07-06 07:39:52
608,"6553,6553,32767,19660,19660",2019-07-06 07:40:18,2019-07-06 07:40:18
609,"6571,6577,32792,19700,19660",2019-07-06 07:42:31,2019-07-06 07:42:31
610,"13124,23,26238,26253,13106",2019-07-06 07:45:17,2019-07-06 07:45:17
611,"6553,6553,6553,19660,19660",2019-07-06 07:45:29,2019-07-06 07:45:29
612,"17,13130,13131,13146,26213",2019-07-06 07:50:42,2019-07-06 07:50:42
613,"17,13130,26238,13146,39321,13106,13106",2019-07-06 08:09:47,2019-07-06 08:09:47
614,"6553,6553,19660,6553,32767,6553,6553",2019-07-06 08:10:17,2019-07-06 08:10:17
615,"6553,6553,19660,19660,32767,6553,6553",2019-07-06 08:10:37,2019-07-06 08:10:37
616,"6571,6577,19685,6593,32767,6553,6553",2019-07-06 08:12:30,2019-07-06 08:12:30
617,"17,23,13131,13146,26213",2019-07-06 08:18:01,2019-07-06 08:18:01
618,"6553,6553,32767,19660,32767,6553,19660",2019-07-06 08:18:26,2019-07-06 08:18:26
619,"6571,6577,32792,19700,32767,6553,19660",2019-07-06 08:20:40,2019-07-06 08:20:40
620,"13124,23,26238,26253,26213",2019-07-06 08:23:23,2019-07-06 08:23:23
621,"17,23,26238,13146,26213",2019-07-06 08:26:11,2019-07-06 08:26:11
622,"19660,6553,6553,6553,6553",2019-07-06 08:26:24,2019-07-06 08:26:24
623,6571,2019-07-06 08:28:54,2019-07-06 08:28:54
624,"13124,39345,13131,39,13106",2019-07-06 08:31:34,2019-07-06 08:31:34
625,"19660,32767,6553,6553,6553",2019-07-06 08:32:05,2019-07-06 08:32:05
626,"19678,32791,6578,6593,6553",2019-07-06 08:34:17,2019-07-06 08:34:17
627,"19660,32767,19660,6553,6553",2019-07-06 08:40:16,2019-07-06 08:40:16
628,"19678,32791,19685,6593,6553",2019-07-06 08:42:29,2019-07-06 08:42:29
629,"32767,6553,19660,19660,6553",2019-07-06 08:48:10,2019-07-06 08:48:10
630,"32767,19660,6553,19660,6553",2019-07-06 08:50:55,2019-07-06 08:50:55
631,"19660,32767,19660,6553,19660,6553,19660",2019-07-06 08:51:07,2019-07-06 08:51:07
632,"19678,32791,19685,6593,19660,6553,19660",2019-07-06 08:53:27,2019-07-06 08:53:27
633,"26213,26213,13106,13106,13106",2019-07-06 08:53:51,2019-07-06 08:53:51
634,"26231,26237,13131,13146,13106",2019-07-06 08:56:08,2019-07-06 08:56:08
635,"13124,26237,13131,39,13106",2019-07-06 08:58:54,2019-07-06 08:58:54
636,"32767,6553,19660,19660",2019-07-06 08:59:06,2019-07-06 08:59:06
637,"19660,19660,6553,6553,6553",2019-07-06 08:59:20,2019-07-06 08:59:20
638,"19678,19684,6578,6593,6553",2019-07-06 09:01:35,2019-07-06 09:01:35
639,"39321,13106,13106,26213",2019-07-06 09:01:49,2019-07-06 09:01:49
640,"26213,26213,26213,13106,13106",2019-07-06 09:02:03,2019-07-06 09:02:03
641,"26231,26237,26238,13146,13106",2019-07-06 09:04:18,2019-07-06 09:04:18
642,"32767,19660,19660,19660,6553",2019-07-06 09:04:45,2019-07-06 09:04:45
643,"32767,19660,19660,6553,6553",2019-07-06 09:04:58,2019-07-06 09:04:58
644,"32785,19684,19685,19700,6553",2019-07-06 09:06:59,2019-07-06 09:06:59
645,"32767,6553,6553,19660",2019-07-06 09:07:17,2019-07-06 09:07:17
646,"19678,19684,19685,6593,6553",2019-07-06 09:09:47,2019-07-06 09:09:47
647,"26231,13130,13131,13146",2019-07-06 09:12:30,2019-07-06 09:12:30
648,"13124,26237,24,39,13106",2019-07-06 09:17:59,2019-07-06 09:17:59
649,"13124,26237,13131,39,26213,13106,13106",2019-07-06 09:36:58,2019-07-06 09:36:58
650,"19660,19660,6553,6553,19660,6553,6553",2019-07-06 09:37:28,2019-07-06 09:37:28
651,"19678,19684,6578,6593,19660,6553,6553",2019-07-06 09:39:42,2019-07-06 09:39:42
652,"13124,13130,24,39,13106",2019-07-06 09:45:10,2019-07-06 09:45:10
653,"32767,6553,6553,19660,6553",2019-07-06 09:45:23,2019-07-06 09:45:23
654,"19660,19660,19660,6553,19660,6553,19660",2019-07-06 09:45:36,2019-07-06 09:45:36
655,"19678,19684,19685,6593,19660,6553,19660",2019-07-06 09:47:55,2019-07-06 09:47:55
656,"26213,13106,13106,13106,13106",2019-07-06 09:48:25,2019-07-06 09:48:25
657,"26231,13130,13131,13146,13106",2019-07-06 09:50:38,2019-07-06 09:50:38
658,"13124,13130,13131,39,13106",2019-07-06 09:53:22,2019-07-06 09:53:22
659,"19678,6577,6578,6593,6553",2019-07-06 09:56:02,2019-07-06 09:56:02
660,"6553,32767,19660,6553,19660",2019-07-06 09:56:32,2019-07-06 09:56:32
661,"6571,32791,19685,6593,19660",2019-07-06 09:58:47,2019-07-06 09:58:47
662,"13124,13130,24",2019-07-06 10:11:04,2019-07-06 10:11:04
663,"13106,26213,26213,13106,26213",2019-07-06 10:18:31,2019-07-06 10:18:31
664,"13124,26237,26238,13146,26213",2019-07-06 10:20:45,2019-07-06 10:20:45
665,"19660,19660,19660,19660,19660",2019-07-06 10:21:15,2019-07-06 10:21:15
666,"19678,19684,19685,19700,19660",2019-07-06 10:23:31,2019-07-06 10:23:31
667,"6553,19660,19660,6553,19660",2019-07-06 10:23:56,2019-07-06 10:23:56
668,"17,23,13131",2019-07-06 10:24:54,2019-07-06 10:24:54
669,"6571,19684,19685,6593,19660",2019-07-06 10:26:11,2019-07-06 10:26:11
670,"19660,19660,32767,19660,19660",2019-07-06 10:29:21,2019-07-06 10:29:21
