id,value,created_at,updated_at
88,"30664,25154,23,24,39,7,39,10,264,18512,16946,13126,13380",2017-01-02 04:01:51,2017-01-02 04:01:51
89,"13,12,23,53250,22808,7",2017-01-04 22:16:55,2017-01-04 22:16:55
90,"3597,12,23,24,39,7",2017-01-05 11:49:12,2017-01-05 11:49:12
91,"13,252,791,24,21526,1799",2017-01-07 18:03:20,2017-01-07 18:03:20
92,"13,12,23,24,224,59760",2017-01-08 19:11:55,2017-01-08 19:11:55
93,"25563,51446,279,24,39,7,39,10,264,18512,16946,13126,13380",2017-01-09 06:37:57,2017-01-09 06:37:57
94,"24,31,22,21,39",2017-01-09 23:46:40,2017-01-09 23:46:40
95,"3,5,23,31,0",2017-01-10 22:53:20,2017-01-10 22:53:20
96,"13,12,23,24,167,14599",2017-01-15 05:26:43,2017-01-15 05:26:43
97,"13,12,23,32796,39,7",2017-01-15 11:00:25,2017-01-15 11:00:25
98,"28839,27709,61325,51806,39,7",2017-01-15 15:54:26,2017-01-15 15:54:26
99,"52236,12,23,24,135,519,39,10,264,18512,16946,13126,13380",2017-01-15 16:56:26,2017-01-15 16:56:26
100,"254,30657,64330,49139,23844,7",2017-01-17 05:52:35,2017-01-17 05:52:35
101,"13,12,23,24,59936,7",2017-01-18 01:25:53,2017-01-18 01:25:53
102,"13,12,23,24,39,7,39,10,264,18512,16946,13126,13380",2017-01-27 19:14:12,2017-01-27 19:14:12
103,"13,12,23,77,9255,7",2017-01-30 20:17:06,2017-01-30 20:17:06
104,"13,29825,35907,52235,39,7",2017-01-30 20:33:06,2017-01-30 20:33:06
105,"93,61711,23,32850,17703,7",2017-02-02 18:17:45,2017-02-02 18:17:45
106,"13,12,23,24,39,38922",2017-02-02 21:11:37,2017-02-02 21:11:37
107,"13,26258,23,24,39,7",2017-02-02 22:02:54,2017-02-02 22:02:54
108,"13,12,61,1560,39,7",2017-02-04 22:33:35,2017-02-04 22:33:35
109,"13,12,23,216,13621,7",2017-02-05 07:27:34,2017-02-05 07:27:34
110,"14424,39994,18410,64089,21867,20488,23044,60173,4700,33945,24189,41784,31444",2017-02-06 21:17:05,2017-02-06 21:17:05
111,"13,12,219,44999,25961,7",2017-02-08 16:01:33,2017-02-08 16:01:33
112,"245,23952,23,24,39,7",2017-02-08 19:11:36,2017-02-08 19:11:36
113,"13,12,55,280,39,7",2017-02-09 04:18:04,2017-02-09 04:18:04
114,"13,12,23,24,148,19207",2017-02-09 19:15:06,2017-02-09 19:15:06
115,"193,24850,2538,32367,15655,7",2017-02-12 10:26:58,2017-02-12 10:26:58
116,"48230,780,23,24,39,7",2017-02-12 19:21:56,2017-02-12 19:21:56
117,"13,12,52294,22843,6951,7",2017-02-12 20:51:56,2017-02-12 20:51:56
118,"13,12,23,24,167,14637",2017-02-13 03:04:20,2017-02-13 03:04:20
119,"13,12,23,32980,1575,7",2017-02-13 07:06:32,2017-02-13 07:06:32
120,"58885,36104,23,24,39,7",2017-02-13 14:14:27,2017-02-13 14:14:27
121,"13,12,23,24,39,199",2017-02-13 16:31:44,2017-02-13 16:31:44
122,"12362,16999,3095,24,39,7",2017-02-13 17:42:43,2017-02-13 17:42:43
123,"13,12,23,24,39,13319",2017-02-13 19:51:57,2017-02-13 19:51:57
124,"13,12,23,24,39,62484",2017-02-13 20:47:49,2017-02-13 20:47:49
125,"13,12,23,24,39,135",2017-02-13 21:04:57,2017-02-13 21:04:57
126,"13,12301,23,24,39,7",2017-02-14 01:38:43,2017-02-14 01:38:43
127,"13,12,23,24,6183,7",2017-02-14 07:04:08,2017-02-14 07:04:08
128,"13,12,24729,24,39,7",2017-02-14 17:39:51,2017-02-14 17:39:51
129,"36109,12,23,152,2343,7,39,10,264,18512,16946,13126,13380",2017-02-14 18:48:18,2017-02-14 18:48:18
130,"159,1252,61238,35726",2017-03-31 16:23:30,2017-03-31 16:23:30
131,"1,121,3,6,15,119,252",2017-04-04 17:54:46,2017-04-04 17:54:46
132,"32,23,24,12",2017-04-29 17:08:12,2017-04-29 17:08:12
133,"205,48082,62916,24,39,7",2017-05-02 02:59:17,2017-05-02 02:59:17
134,"13,12,23,24,167,14795",2017-05-02 15:31:34,2017-05-02 15:31:34
135,"13,12,23,24,39,16433",2017-05-02 21:33:38,2017-05-02 21:33:38
136,"32,31,23,24,12,59,60",2017-05-04 08:09:15,2017-05-04 08:09:15
137,"23,24,31,17,21,22",2017-05-31 14:22:19,2017-05-31 14:22:19
139,"23,24,31,20",2017-06-01 23:41:51,2017-06-01 23:41:51
140,"52,21,22,23,24,31,56,64,67,82,83,94,95,96",2017-06-06 20:38:45,2017-06-06 20:38:45
141,"52,23,24",2017-06-29 07:28:50,2017-06-29 07:28:50
142,"23,24,59",2017-07-09 03:02:22,2017-07-09 03:02:22
143,"7,23,24,41,42,59,60,31,21,22,39",2017-07-18 06:17:10,2017-07-18 06:17:10
144,2,2017-07-21 21:12:27,2017-07-21 21:12:27
145,"14361,23,17,39",2017-07-26 03:12:54,2017-07-26 03:12:54
146,24,2017-07-28 08:45:05,2017-07-28 08:45:05
147,"32,31,23,24,59,12",2017-07-31 16:58:53,2017-07-31 16:58:53
148,"24,23,24687,55250",2017-08-01 03:27:00,2017-08-01 03:27:00
149,"32719,61421,65023,58095",2017-08-09 08:33:41,2017-08-09 08:33:41
150,"24,23,17,0",2017-08-15 02:24:26,2017-08-15 02:24:26
151,"17,23,39992,3499",2017-08-18 02:06:53,2017-08-18 02:06:53
152,"21,22,23,24,12,31,56,64,67,82,83,94,95,96",2017-08-27 18:55:54,2017-08-27 18:55:54
153,"32,23,24,39,12",2017-09-04 14:10:05,2017-09-04 14:10:05
154,"12362,6890,44649,20661",2017-09-12 08:34:04,2017-09-12 08:34:04
155,"59,60,23,16",2017-11-08 12:30:17,2017-11-08 12:30:17
156,"7,12",2017-11-09 07:20:47,2017-11-09 07:20:47
157,"13,12,23,24,56,7",2017-11-12 16:18:25,2017-11-12 16:18:25
158,"217,1815,24,39",2017-11-30 08:05:05,2017-11-30 08:05:05
159,"52,17,21,22,23,24,31,56,64,67,82,83,94,95,96",2017-11-30 11:28:07,2017-11-30 11:28:07
160,"3,5,23,31,41",2017-12-15 16:13:36,2017-12-15 16:13:36
161,"24,23,17,16423",2017-12-27 12:59:55,2017-12-27 12:59:55
162,"53,50,12,55,255",2017-12-28 06:44:53,2017-12-28 06:44:53
163,"17,56359,24,39",2017-12-31 07:39:57,2017-12-31 07:39:57
