author,comments,device_type,device_url,device_vendor,last_updated,name,os_class,os_name,os_url,os_vendor,tests
,,,,,2023-07-02,SUSE Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""suse.pool.ntp.org""}]"
,,,,,2023-07-02,Synology Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""synology.pool.ntp.org""}]"
,,,,,2023-07-02,UBI Linux Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""ubilinux.pool.ntp.org""}]"
,,,,,2023-07-02,Ubuntu Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""archive.ubuntu.com""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""dns"": ""changelogs.ubuntu.com""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""dns"": ""connectivity-check.ubuntu.com""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""dns"": ""daily.ubuntu.com""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""dns"": ""ddebs.ubuntu.com""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""dns"": ""motd.ubuntu.com""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""dns"": ""ntp.ubuntu.com""}, {""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""ubuntu.pool.ntp.org""}, {""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""security.ubuntu.com""}]"
,,,,,2023-07-02,UHU Linux Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""uhulinux.pool.ntp.org""}]"
,,,,,2023-07-02,Vizio Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""vizio.pool.ntp.org""}]"
,,,,,2023-07-02,VMWare Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""vmware.pool.ntp.org""}]"
,,,,,2023-07-02,Windows Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""events.data.microsoft.com""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""dns"": ""time.windows.com""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""dns"": ""watson.telemetry.microsoft.com""}]"
,,,,,2023-07-02,Windows 10+ and 2016+ Devices,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""dns"": ""v10.events.data.microsoft.com""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""dns"": ""v10c.events.data.microsoft.com""}, {""weight"": ""5"", ""matchtype"": ""exact"", ""dns"": ""v10.vortex-win.data.microsoft.com""}]"
,,,,,2023-07-02,ZScaler Device,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""dns"": ""zscaler.pool.ntp.org""}]"
