author,comments,device_type,device_url,device_vendor,last_updated,name,os_class,os_name,os_url,os_vendor,tests
,,,,,2024-01-06,OpenSSH 5.9,,,,,"[{""weight"": ""10"", ""matchtype"": ""exact"", ""ssh"": ""SSH-2.0-OpenSSH_5.9""}]"
,,,,,2024-01-06,OpenSSH 5.x,,,,,"[{""weight"": ""7"", ""matchtype"": ""partial"", ""ssh"": ""SSH-2.0-OpenSSH_5.""}]"
,,,,,2024-01-06,OpenSSH 6.1,,,,,"[{""weight"": ""10"", ""matchtype"": ""exact"", ""ssh"": ""SSH-2.0-OpenSSH_6.1""}]"
,,,,,2024-01-06,OpenSSH 6.2,,,,,"[{""weight"": ""10"", ""matchtype"": ""exact"", ""ssh"": ""SSH-2.0-OpenSSH_6.2""}]"
,,,,,2024-01-06,OpenSSH 6.x,,,,,"[{""weight"": ""7"", ""matchtype"": ""partial"", ""ssh"": ""SSH-2.0-OpenSSH_6.""}]"
,,,,,2024-01-06,OpenSSH 7.4,,,,,"[{""weight"": ""10"", ""matchtype"": ""exact"", ""ssh"": ""SSH-2.0-OpenSSH_7.4""}]"
,,,,,2024-01-06,OpenSSH 7.x,,,,,"[{""weight"": ""7"", ""matchtype"": ""partial"", ""ssh"": ""SSH-2.0-OpenSSH_7.""}]"
,,,,,2024-01-06,OpenSSH 8.0,,,,,"[{""weight"": ""10"", ""matchtype"": ""exact"", ""ssh"": ""SSH-2.0-OpenSSH_8.0""}]"
,,,,,2024-01-06,OpenSSH 8.8,,,,,"[{""weight"": ""10"", ""matchtype"": ""exact"", ""ssh"": ""SSH-2.0-OpenSSH_8.8""}]"
,,,,,2024-01-06,OpenSSH 8.x,,,,,"[{""weight"": ""7"", ""matchtype"": ""partial"", ""ssh"": ""SSH-2.0-OpenSSH_8.""}]"
,,,,,2024-01-06,OpenSSH 9.1,,,,,"[{""weight"": ""10"", ""matchtype"": ""exact"", ""ssh"": ""SSH-2.0-OpenSSH_9.1""}]"
,,,,,2024-01-06,OpenSSH 9.4,,,,,"[{""weight"": ""10"", ""matchtype"": ""exact"", ""ssh"": ""SSH-2.0-OpenSSH_9.4""}]"
,,,,,2024-01-06,OpenSSH 9.x,,,,,"[{""weight"": ""7"", ""matchtype"": ""partial"", ""ssh"": ""SSH-2.0-OpenSSH_9.""}]"
,,,,,2024-01-11,OS X 14.2.x,,,,,"[{""weight"": ""7"", ""matchtype"": ""exact"", ""ssh"": ""Mac OS X/14.2.""}]"
,,,,,2024-01-06,paramiko,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""ssh"": ""SSH-2.0-paramiko""}]"
,,,,,2024-01-06,PuTTY,,,,,"[{""weight"": ""5"", ""matchtype"": ""partial"", ""ssh"": ""SSH-2.0-PuTTY""}]"
,,,,,2024-01-06,PuTTY 0.79,,,,,"[{""weight"": ""10"", ""matchtype"": ""exact"", ""ssh"": ""SSH-2.0-PuTTY_Release_0.79""}]"
,,,,,2024-01-06,PuTTY 0.7x,,,,,"[{""weight"": ""7"", ""matchtype"": ""partial"", ""ssh"": ""SSH-2.0-PuTTY_Release_0.7""}]"
,,,,,2024-01-06,PuTTY 0.80,,,,,"[{""weight"": ""10"", ""matchtype"": ""exact"", ""ssh"": ""SSH-2.0-PuTTY_Release_0.80""}]"
,,,,,2024-01-06,PuTTY 0.8x,,,,,"[{""weight"": ""7"", ""matchtype"": ""partial"", ""ssh"": ""SSH-2.0-PuTTY_Release_0.8""}]"
,,,,,2024-01-06,rclone 1.55,,,,,"[{""weight"": ""10"", ""matchtype"": ""partial"", ""ssh"": ""SSH-2.0-rclone/v1.55.1""}]"
,,,,,2024-01-11,SecureCRT 9.3.x,,,,,"[{""weight"": ""7"", ""matchtype"": ""partial"", ""ssh"": ""SSH-2.0-SecureCRT_9.3.""}]"
,,,,,2024-05-27,Insecure - SSH 1.x,,,,,"[{""weight"": ""10"", ""matchtype"": ""partial"", ""ssh"": ""SSH-1.""}]"
,,,,,2024-01-06,Ubuntu - OpenSSH 7.6p1,,,,,"[{""weight"": ""10"", ""matchtype"": ""exact"", ""ssh"": ""SSH-2.0-OpenSSH_7.6p1 Ubuntu-4ubuntu0.7""}]"
,,,,,2024-01-06,Ubuntu - OpenSSH 8.2p1,,,,,"[{""weight"": ""10"", ""matchtype"": ""exact"", ""ssh"": ""SSH-2.0-OpenSSH_8.2p1 Ubuntu-4ubuntu0.11""}]"
,,,,,2024-01-06,Ubuntu - OpenSSH 8.9p1,,,,,"[{""weight"": ""10"", ""matchtype"": ""exact"", ""ssh"": ""SSH-2.0-OpenSSH_8.9p1 Ubuntu-3ubuntu0.6""}]"
,,,,,2024-01-06,Ubuntu 22.04,,,,,"[{""weight"": ""10"", ""matchtype"": ""exact"", ""ssh"": ""SSH-2.0-OpenSSH_8.2p1 Ubuntu-4ubuntu0.5""}]"
,,,,,2024-01-06,Windows,,,,,"[{""weight"": ""5"", ""matchtype"": ""exact"", ""ssh"": ""SSH-2.0-PuTTY""}]"
,,,,,2024-01-11,Windows 10,,,,,"[{""weight"": ""10"", ""matchtype"": ""exact"", ""ssh"": ""SSH-2.0-OpenSSH_for_Windows_8.1""}]"
,,,,,2024-01-11,Windows 11,,,,,"[{""weight"": ""10"", ""matchtype"": ""exact"", ""ssh"": ""OpenSSH_for_Windows_8.6""}]"
,,,,,2024-01-11,WinSCP 6.1.x,,,,,"[{""weight"": ""7"", ""matchtype"": ""partial"", ""ssh"": ""SSH-2.0-WinSCP_release_6.1.""}]"
,,,,,2024-01-06,ZMap/ZGrab 9,,,,,"[{""weight"": ""10"", ""matchtype"": ""exact"", ""ssh"": ""SSH-2.0-ZGrab ZGrab SSH Survey and SSH-2.0-zgrab2 opt-out available at http://195.37.190.89/""}]"
